At position 1661, match pattern 933
At position 1666, match pattern 721
At position 1671, match pattern 733
At position 1675, match pattern 2326
At position 1682, match pattern 826
At position 1683, match pattern 932
At position 1686, match pattern 2326
At position 1694, match pattern 2288
At position 1698, match pattern 1023
At position 1703, match pattern 733
At position 1707, match pattern 2326
At position 1716, match pattern 2326
At position 1728, match pattern 2336
At position 1745, match pattern 733
At position 1749, match pattern 2326
At position 1758, match pattern 2326
At position 1768, match pattern 932
At position 1773, match pattern 408
At position 1781, match pattern 826
At position 1782, match pattern 932
At position 1785, match pattern 2326
At position 1798, match pattern 2359
At position 1803, match pattern 1023
At position 1808, match pattern 2359
At position 1813, match pattern 799
At position 1814, match pattern 932
At position 1826, match pattern 2326
At position 1829, match pattern 1574
At position 1830, match pattern 932
At position 1841, match pattern 2326
At position 1843, match pattern 932
At position 1855, match pattern 783
At position 1859, match pattern 310
At position 1860, match pattern 2336
At position 1864, match pattern 771
At position 1870, match pattern 733
At position 1877, match pattern 1480
At position 1888, match pattern 2288
At position 1892, match pattern 1433
At position 1901, match pattern 1023
At position 1911, match pattern 721
At position 1915, match pattern 932
At position 1918, match pattern 2183
At position 1922, match pattern 2293
At position 1927, match pattern 428
At position 1936, match pattern 1813
At position 1939, match pattern 2326
At position 1963, match pattern 932
At position 1967, match pattern 1619
At position 1975, match pattern 1483
At position 1980, match pattern 1023
At position 1996, match pattern 1297
At position 1998, match pattern 799
At position 1999, match pattern 1023
At position 2004, match pattern 80
At position 2017, match pattern 2326
At position 2021, match pattern 1297
At position 2023, match pattern 799
At position 2024, match pattern 1023
At position 2031, match pattern 2326
At position 2040, match pattern 1023
At position 2045, match pattern 733
At position 2061, match pattern 932
At position 2071, match pattern 2282
At position 2076, match pattern 1225
At position 2087, match pattern 1023
At position 2092, match pattern 932
At position 2103, match pattern 2359
At position 2107, match pattern 2308
At position 2109, match pattern 1023
At position 2111, match pattern 932
At position 2112, match pattern 2288
At position 2121, match pattern 798
At position 2125, match pattern 1987
At position 2126, match pattern 2336
At position 2130, match pattern 1545
At position 2131, match pattern 932
At position 2142, match pattern 1811
At position 2162, match pattern 2288
At position 2165, match pattern 1023
At position 2174, match pattern 1023
At position 2179, match pattern 733
At position 2182, match pattern 226
At position 2183, match pattern 932
At position 2188, match pattern 2326
At position 2194, match pattern 2288
At position 2211, match pattern 932
At position 2222, match pattern 932
At position 2228, match pattern 1585
At position 2229, match pattern 932
At position 2233, match pattern 1023
At position 2237, match pattern 733
At position 2241, match pattern 2326
At position 2247, match pattern 306
At position 2248, match pattern 2326
At position 2260, match pattern 2477
At position 2269, match pattern 2444
At position 2277, match pattern 1567
At position 2278, match pattern 932
At position 2279, match pattern 2288
At position 2284, match pattern 1510
At position 2287, match pattern 2458
At position 2301, match pattern 1303
At position 2310, match pattern 733
At position 2324, match pattern 210
At position 2325, match pattern 1023
At position 2341, match pattern 799
At position 2342, match pattern 1023
At position 2383, match pattern 2355
At position 2385, match pattern 778
At position 2389, match pattern 932
At position 2417, match pattern 1225
At position 2428, match pattern 1023
At position 2433, match pattern 932
At position 2463, match pattern 932
At position 2464, match pattern 2288
At position 2470, match pattern 2361
At position 2476, match pattern 932
At position 2487, match pattern 733
At position 2491, match pattern 932
At position 2492, match pattern 1780
At position 2510, match pattern 1225
At position 2521, match pattern 1023
At position 2524, match pattern 2477
At position 2536, match pattern 2444
At position 2547, match pattern 1567
At position 2548, match pattern 932
At position 2549, match pattern 2288
At position 2557, match pattern 1510
At position 2560, match pattern 2458
At position 2574, match pattern 1303
At position 2593, match pattern 2359
At position 2596, match pattern 1297
At position 2602, match pattern 932
At position 2608, match pattern 1585
At position 2609, match pattern 932
At position 2613, match pattern 1023
At position 2617, match pattern 733
At position 2633, match pattern 932
At position 2641, match pattern 2264
At position 2656, match pattern 799
At position 2657, match pattern 1023
At position 2683, match pattern 2288
At position 2691, match pattern 733
At position 2700, match pattern 2264
At position 2703, match pattern 821
At position 2704, match pattern 932
